fips,LND110210,POP060210
21147,426.8,42.9
21149,252.47,37.8
21151,437.29,189.6
21153,308.44,43.2
21155,343.01,57.8
21157,301.25,104.4
21159,229.61,56.3
21161,240.13,72.8
21163,305.42,93.6
21165,203.59,31
21167,248.8,85.7
21169,289.65,34.9
21171,329.37,33.3
21173,197.37,134.3
21175,381.13,36.5
21177,467.08,67.4
21179,417.51,104
21181,195.17,36.6
21183,587.27,40.6
21185,187.22,322.2
21187,351.1,30.9
21189,197.41,24.1
21191,277.16,53.7
21193,339.67,84.5
21195,786.83,82.6
21197,178.98,70.5
21199,658.41,95.8
21201,99.91,22.8
21203,316.55,53.9
21205,279.8,83.4
21207,253.66,69.2
21209,281.77,167.4
21211,379.64,110.8
21213,234.2,74
21215,186.68,91.4
21217,266.33,92
21219,374.5,33.3
21221,441.43,32.5
21223,151.65,58.1
21225,342.85,43.8
21227,541.6,210.1
21229,297.27,39.4
21231,458.17,45.4
21233,331.94,41
21235,437.83,81.4
21237,222.17,33.1
21239,188.78,132.1
22000,43203.9,104.9
22001,655.12,94.3
22003,761.85,33.8
22005,289.98,369.7
22007,338.66,69.2
22009,832.43,50.5
22011,1157.34,30.8
22013,811.27,17.7
22015,840.06,139.3
22017,878.54,290.2
22019,1063.66,181.2
22021,529.43,19.1
22023,1284.89,5.3
22025,708.03,14.7
22027,754.88,22.8
22029,696.92,29.9
22031,875.58,30.4
22033,455.37,966.6
22035,420.7,18.4
22037,453.41,44.7
22039,662.38,51.3
22041,624.59,33.2
22043,643.03,34.7
22045,574.11,127.6
22047,618.63,54
22049,569.18,28.6
22051,295.63,1463.1
22053,651.33,48.5
22055,268.72,824.6
22057,1068.21,90.2
22059,624.68,23.8
22061,471.74,99.1
22063,648.17,197.5
22065,624.44,19.4
22067,794.93,35.2
22069,1252.25,31.6
22071,169.42,2029.4
22073,610.41,251.8
22075,779.91,29.5
22077,557.35,40.9
22079,1317.96,99.9
22081,389.09,23.4
22083,559.04,37.1
22085,866.66,28
22087,377.52,95.1
22089,279.08,189.1
22091,408.4,27.4
22093,241.54,91.5
22095,213.07,215.5
22097,923.88,90.3
22099,737.65,70.7
22101,555.38,98.4
22103,845.55,276.4
22105,791.28,153
22107,602.78,8.7
22109,1231.82,90.8
22111,876.99,25.9
22113,1173.2,49.4
22115,1327.91,39.4
22117,669.53,70.4
22119,593.03,69.5
22121,192.39,123.6
22123,359.65,32.3
22125,403.21,38.8
22127,950.09,16.1
23000,30842.92,43.1
23001,467.93,230.2
23003,6671.33,10.8
23005,835.24,337.2
23007,1696.61,18.1
23009,1586.89,34.3
23011,867.52,140.8
23013,365.13,108.8
23015,455.82,75.6
23017,2076.84,27.8
23019,3397.36,45.3
23021,3960.86,4.4
23023,253.7,139.1
23025,3924.4,13.3
23027,729.92,53.1
23029,2562.66,12.8
23031,990.71,199
24000,9707.24,594.8
24001,424.16,177
24003,414.9,1295.9
24005,598.3,1345.5
24009,213.15,416.3
24011,319.42,103.5
24013,447.6,373.4
24015,346.27,292
24017,457.75,320.2
24019,540.77,60.3
24021,660.22,353.5
24023,647.1,46.5
24025,437.09,560.1
24027,250.74,1144.9
24029,277.03,72.9
24031,491.25,1978.2
24033,482.69,1788.8
24035,371.91,128.5
24037,357.18,294.4
24039,319.72,82.8
24041,268.54,140.7
24043,457.78,322.1
24045,374.44,263.7
24047,468.28,109.9
24510,80.94,7671.5
25000,7800.06,839.4
25001,393.72,548.3
25003,926.83,141.6
25005,553.1,991.3
25007,103.25,160.2
25009,492.56,1508.8
25011,699.32,102.1
25013,617.14,751
25015,527.26,299.8
25017,817.82,1837.9
25019,44.97,226.2
25021,396.11,1693.6
25023,659.08,750.9
25025,58.15,12415.7
25027,1510.77,528.6
26000,56538.9,174.8
26001,674.59,16.2
26003,915.07,10.5
26005,825.23,135
26007,571.86,51.8
26009,475.7,49.6
26011,363.19,43.8
